Date,Source ,Text
30-Dec-22,BBC Radio London Travel,Anticlockwise #M25 is slow in patches from J11 Chertsey to J9 Leatherhead after a breakdown and collision earlier - all lanes are back open
30-Dec-22,BBC Radio London Travel,M25 - 1 lane remains closed anticlockwise at j9 following 2 incidents - 7 miles of queues
30-Dec-22,National Highways: South-East,Only 1 lane (of 4) is now closed on the #M25 anti-clockwise between J9 #Leatherhead and J8 #Reigate in #Surrey following a collision involving a car which has struck the central reservation. Recovery is still en-route. There's now 3 miles of congestion on approach.
30-Dec-22,National Highways: South-East,2 lanes (of 4) remain closed on the #M25 anti-clockwise between J9 #Leatherhead and J8 #Reigate in #Surrey following a collision involving a car which has struck the central reservation. Recovery is en-route. There are minor delays on approach.
30-Dec-22,National Highways: South-East,Traffic has been STOPPED on the #M25 anti-clockwise in #Surrey between J10 (#Cobham) and J9 (#Leatherhead) due to flooding and a subsequent collision. Our contractors are on scene to assist in clearing the flood water. There's 2 miles of congestion on approach.
28-Dec-22,National Highways: South-East,Traffic has been STOPPED on the #M25 anti-clockwise in #Surrey between J9 and J8 (#Reigate) due to a collision. Our Traffic Officers are moving vehicles onto the hard shoulder. There's a 30 minute delay on approach.
27-Dec-22,Sarbraj Singh Kahlon,"A single vehicle collision on the #Portmannbridge resulted in early morning lane closures. @SurreyRCMP say the vehicle was travelling East Bound towards Surrey and ended up striking the concrete barrier, Acc. to @DriveBC eastbound lanes are clear now."
27-Dec-22,ATC Surrey,"Certain types of collision damage occur more often than others. Read this article to learn more about rear-end damage, dents, and front-end damage. https://hubs.li/Q01wh7N-0"
27-Dec-22,National Highways: South-East,1 lane (of 4) remains closed on the #M23 northbound in #Surrey between J9 (@Gatwick_Airport) and J8 (#M25) following a collision. Recovery is now taking place. Delays are now less than 10 minutes. Thanks for your patience.
27-Dec-22,National Highways: South-East,1 lane (of 4) is closed on the #M23 northbound in #Surrey between J9 (@Gatwick_Airport) and J8 (#M25) following a collision. We've just moved all vehicles into the refuge area. There's a 45 minute delay on approach with 4 miles of congestion.
26-Dec-22,BBC Radio Surrey,"Two out of four lanes are closed on the M3 eastbound in Surrey between J3 (Lightwater) and J2 (M25) due to a multi-vehicle collision. There is a 30 minute delay on the approach, with three miles of congestion, Highways England said."
26-Dec-22,BBC South East,"Two out of four lanes are closed on the M3 eastbound in Surrey between J3 (Lightwater) and J2 (M25) due to a multi-vehicle collision. There is a 30 minute delay on the approach, with three miles of congestion, Highways England said."
26-Dec-22,National Highways: South-East,2 lanes (of 4) remain closed on the #M3 eastbound in #Surrey between J3 (Lightwater) and J2 (M25) due to a multi-vehicle collision. Recovery are on scene. There's now a 30 minute delay on approach with 3 miles of congestion.
26-Dec-22,National Highways: South-East,2 lanes (of 4) remain closed on the #M3 eastbound in #Surrey between J3 (Lightwater) and J2 (M25) due to a multi-vehicle collision. Recovery is en-route to scene. There's now a 45 minute delay on approach with 4 miles of congestion.
26-Dec-22,National Highways: South-East,2 lanes (of 4) are closed on the #M3 eastbound in #Surrey between J3 (Lightwater) and J2 (M25) due to a multi-vehicle collision. Emergency services are on scene. There's a 30 minute delay on approach with 4 miles of congestion.
26-Dec-22,National Highways: South-East,2 lanes (of 4) are closed on the #M25 clockwise in #Surrey between J10 (Cobham) and J11 (Chertsey) due to a collision. Emergency services are in attendance. There's a 45 minute delay on approach with 6.5 miles of congestion.
26-Dec-22,National Highways: South-East,"2 lanes (of 4) are closed on the #M25 clockwise in #Surrey between J8 (#Reigate) and J9 (#Leatherhead) due to a collision. All emergency services are in attendance. Traffic is passing slowly, with minimal congestion at this time."
23-Dec-22,East Hants Cops,"Redhill Road in #RowlandsCastle is now open again, following a serious collision involving a grey BMW and cyclist. If you witnessed this collision or have any Dash Cam of the incident, please call us. Full details here >>> https://orlo.uk/922Hn"
20-Dec-22,BBC Radio Surrey,A man's died in a two-vehicle collision near Redhill. bbc.co.uk Bletchingley: Man dies in two-vehicle collision Police investigating the fatal crash are appealing for witnesses and dashcam footage.
20-Dec-22,BBC South East,A man's died in a two-vehicle collision near Redhill. bbc.co.uk Bletchingley: Man dies in two-vehicle collision Police investigating the fatal crash are appealing for witnesses and dashcam footage.
20-Dec-22,abuukasyah,1 dead in fatal Surrey collision https://info-otomotif.my.id/2022/12/1-dead-in-fatal-surrey-collision.html
19-Dec-22,rattanjournalist,Serious pedestrian-involved collision in Surrey https://voiceonline.com/serious-pedestrian-involved-collision-in-surrey-3/ via @Indo-Canadian Voice
18-Dec-22,Roads Policing - Surrey Police - UK,"Sgt Dan Ayrton of Surrey Police, is appealing to anyone who witnessed the collision or the vehicles involved being driven in the lead up to the collision; or anyone who has any dash cam/CCTV that they think may help his investigation, to make contact with Surrey Police. 3/4"
17-Dec-22,CKNW,"The collision occurred Friday evening around 5 p.m. in the 13300 block of Old Yale Road, according to Surrey RCMP. globalnews.ca Surrey, B.C. hit-and-run leaves woman with severe injuries, police say - BC"
17-Dec-22,Global BC,"The collision occurred Friday evening around 5 p.m. in the 13300 block of Old Yale Road, according to Surrey RCMP. globalnews.ca Surrey, B.C. hit-and-run leaves woman with severe injuries, police say - BC"
17-Dec-22,National Highways: South-East,"2 (of 4) lanes are closed on the #M3 in #Surrey eastbound between J3 (#Bagshot) and J2 (#Thorpe) following a collision. @SurreyPolice are in attendance. There are delays of 35 minutes above normal travel times on approach, please allow extra time for your journey."
16-Dec-22,United States Premier League,3.Former England cricketer Andrew Flintoff has been hospitalised following a car crash while filming for BBC's TV Show 'Top Gear'. The 45-year-old was filming with a crew at Dunsfold Park Aerodrome in Surrey on Monday (December 12) when the accident occurred.
